student,glasses,english,statsofar,love_htcm,smoke,h_left,h_right,handedness,statfuture,haircut,lecture,alone,height_in,hand_span,favcolor,lastsleep,pulse,year,lovetrueht,lovetrueage,sex,ageguess
202501,n,n,5,185,1,6,14,0.4,7,0,2,3,63,19,yellow,8,96,2025,188,58.5,NA,NA
202502,y,n,2,180,3,0,17,1,6,20,4,3,68,20,blue,7.5,76,2025,188,58.5,NA,NA
202503,y,y,5,183,1,0,15,1,7,20,2,2,75,24,blue,7,72,2025,188,58.5,NA,NA
202504,n,n,6,188,1,15,3,-0.67,6,0,3,3,62,20.1,beige,7.11,88,2025,188,58.5,NA,NA
202505,y,n,5,183,1,0,13,1,6,0,3,3,64,23,pink,7,64,2025,188,58.5,NA,NA
202506,n,y,5,185,1,9,9,0,6,0,2,2,71,23.5,blue,6.5,51,2025,188,58.5,NA,NA
202507,n,y,6,185,3,4,8,0.33,7,50,3,5,67,23.5,green,5,72,2025,188,58.5,NA,NA
202508,y,y,5,182,1,6,13,0.37,6,0,3,3,63,20.25,purple,5.5,88,2025,188,58.5,NA,NA
202509,y,n,6,182,1,0,20,1,6,25,3,4,68,22.5,green,8,68,2025,188,58.5,NA,NA
202510,y,n,7,180,3,0,19,1,7,32,4,3,71,23,blue-green,5,92,2025,188,58.5,NA,NA
202511,n,n,5,180,1,3,14,0.65,6,2,2,3,72,25.5,black,8,64,2025,188,58.5,NA,NA
202512,n,y,4,188,1,5,15,0.5,5,20,3,3,71,21.5,purple,9,96,2025,188,58.5,NA,NA
202513,n,y,5,173,1,5,15,0.5,7,65,2,3,68,22.5,black,6,56,2025,188,58.5,NA,NA
202514,y,y,3,180,1,1,9,0.8,5,30,3,3,60,20,blue,3,20,2025,188,58.5,NA,NA
202515,y,n,6,188,1,0,10,1,7,10,3,1,67,20,blue,7.5,72,2025,188,58.5,NA,NA
202516,y,y,5,188,1,16,2,-0.78,6,300,3,2,64,21.5,blue,9,124,2025,188,58.5,NA,NA
202517,n,y,6,185,1,7,13,0.3,7,0,3,3,70,24,blue,7.5,79,2025,188,58.5,NA,NA
202518,n,n,4,185,1,0,10,1,7,1,3,3,62,19,pink,8,80,2025,188,58.5,NA,NA
202519,y,y,5,182,1,0,20,1,7,40,5,4,65,20.3,blue,8,88,2025,188,58.5,NA,NA
202520,n,y,5,182,1,2,17,0.79,6,80,2,4,60,18.6,purple,8,96,2025,188,58.5,NA,NA
202521,y,n,4,180,1,2,9,0.64,7,20,3,4,61,16.5,green,8,64,2025,188,58.5,NA,NA
202522,y,y,5,178,1,6,5,-0.09,5,25,4,3,71,22,black,3,52,2025,188,58.5,NA,NA
202523,y,y,2,182,1,5,14,0.47,6,28,2,3,68,22,green,5,68,2025,188,58.5,NA,NA
202524,y,y,4,188,1,2,18,0.8,6,0,3,4,71,24,green,7,60,2025,188,58.5,NA,NA
202525,y,n,6,188,2,0,20,1,6,30,3,2,62.75,19,black,4,84,2025,188,58.5,NA,NA
202526,n,y,7,175,1,3,14,0.65,7,0,2,4,63,24,red,6,88,2025,188,58.5,NA,NA
202527,n,y,6,173,1,2,14,0.75,7,20,3,4,63,22,yellow,5.5,96,2025,188,58.5,NA,NA
202528,y,n,6,185,1,0,20,1,7,40,3,4,65,20,blue,7,76,2025,188,58.5,NA,NA
202529,y,y,4,188,1,0,20,1,5,50,3,2,66,20,purple,8,80,2025,188,58.5,NA,NA
202530,y,y,3,188,1,6,7,0.08,6,100,3,3,60,21,green,9,80,2025,188,58.5,NA,NA
202531,y,y,3,182,1,1,12,0.85,6,100,3,3,62,16.8,purple,10,67,2025,188,58.5,NA,NA
202532,y,y,6,182,1,2,12,0.71,7,0,4,3,65,23,green,8.5,72,2025,188,58.5,NA,NA
202533,y,y,3,185,1,4,11,0.47,5,0,4,5,67,21.9,blue,10,76,2025,188,58.5,NA,NA
202534,n,y,5,182,1,18,10,-0.29,7,0,3,5,67,20,blue,8,70,2025,188,58.5,NA,NA
202535,y,n,5,173,1,0,10,1,6,120,2,3,65,22,pink,7,88,2025,188,58.5,NA,NA
202536,n,n,3,178,1,0,10,1,7,20,2,3,64,20.5,white,7.5,60,2025,188,58.5,NA,NA
202537,y,y,5,191,1,1,10,0.82,7,15,3,4,67,21.5,blue,6.5,68,2025,188,58.5,NA,NA
202538,n,y,6,191,1,2,9,0.64,6,15,2,1,61,20,purple,7,68,2025,188,58.5,NA,NA
202539,y,y,5,182,1,0,20,1,6,85,2,2,64,20,green,5,65,2025,188,58.5,NA,NA
202540,y,y,3,191,1,0,20,1,6,20,3,2,62,20,red,7,76,2025,188,58.5,NA,NA
202541,n,y,3,182,1,1,10,0.82,5,60,2,3,66,16,green,7,60,2025,188,58.5,NA,NA
202542,y,y,2,196,1,2,18,0.8,4,20,2,2,71,25,purple,6,76,2025,188,58.5,NA,NA
202543,y,y,7,180,1,0,10,1,7,35,3,4,71,21,green,6.5,80,2025,188,58.5,NA,NA
202544,y,n,5,182,1,0,10,1,7,25,3,4,69,22,red,5.5,82,2025,188,58.5,NA,NA
202545,y,y,7,180,1,0,10,1,7,35,2,3,73,21,green,6,80,2025,188,58.5,NA,NA
202546,y,y,2,185,1,0,10,1,5,40,2,3,63.5,19.5,sky blue,8,84,2025,188,58.5,NA,NA
202547,n,y,4,185,1,0,11,1,6,0,3,2,64,21.5,light yellow,8,80,2025,188,58.5,NA,NA
202548,y,y,4,188,2,0,20,1,6,70,3,4,67,21,sage green,7.5,60,2025,188,58.5,NA,NA
202549,n,y,5,191,1,4,14,0.56,5,50,3,3,67,21,blue,3,76,2025,188,58.5,NA,NA
202550,y,y,7,188,1,3,14,0.65,7,45,2,3,66,21,purple,7,76,2025,188,58.5,NA,NA
202551,y,y,5,182,1,18,2,-0.8,7,200,3,4,64,22,purple,8,76,2025,188,58.5,NA,NA
202552,y,y,6,180,1,2,18,0.8,7,0,4,5,66.75,20,orange,8.5,72,2025,188,58.5,NA,NA
202553,n,y,5,191,2,7,13,0.3,7,70,3,4,66.5,20.5,pink,7,68,2025,188,58.5,NA,NA
