order,Guessers,Source,People,Chong,Archuleta,Mayfield,Love,McGinn,Chaney,Storm,Glantz,Honey,Lawson
1,Big Data,Students,4,31,53,29,19,48,68,49,71,24,26
2,Bio-Baddies,Students,5,25,52,34,14,69,72,43,75,30,28
3,Bonferroni,Students,5,21,56,30,15,70,68,51,84,37,26
4,CAAH,Students,4,27,61,36,17,65,78,46,82,34,43
5,Chipmunk,Students,4,27,56,24,15,67,75,48,86,34,32
6,Less Than 0.05,Students,5,23,44,28,16,58,74,38,68,40,25
7,Mangos,Students,4,27,45,27,13,59,70,42,81,32,27
8,Mean Squad,Students,5,24,55,30,15,60,65,40,65,27,33
9,Multicultural Thunder,Students,4,22,61,33,14,69,76,46,87,31,27
10,Pillars of Freedom,Students,4,25,53,30,15,65,68,45,75,35,28
11,TukeySEASE,Students,4,28,52,28,13,65,78,45,84,33,30
12,AI 2025-08-21 - howolddoyoulook,AI,0,26,55,23,21,45,62,32,69,29,26
13,True Age,Actual,0,21,64,28,14,54,74,44,83,24,34
