order,Guessers,Source,People,Chong,Archuleta,Mayfield,Love,McGinn,Chaney,Storm,Glantz,Honey,Lawson,AE1,AE2,AE3,AE4,AE5,AE6,AE7,AE8,AE9,AE10
1,Tukey Time,Students,4,27,55,32,15,67,71,43,84,34,27,6,9,4,1,13,3,1,1,10,7
2,ANOVAs,Students,4,32,65,35,15,70,78,54,85,29,33,11,1,7,1,16,4,10,2,5,1
3,World Gators,Students,4,26,65,33,14,77,84,53,78,36,27,5,1,5,0,23,10,9,5,12,7
4,Beavers,Students,5,27,52,32,14,66,72,46,81,38,28,6,12,4,0,12,2,2,2,14,6
5,Static Five,Students,5,26,59,33,14,68,75,46,65,30,31,5,5,5,0,14,1,2,18,6,3
6,The Tom Tukeys,Students,5,25,47,34,15,55,62,45,71,34,26,4,17,6,1,1,12,1,12,10,8
7,We heart Cleveland,Students,5,22,55,32,14,65,70,48,81,39,28,1,9,4,0,11,4,4,2,15,6
8,New Beginnings,Students,5,26,50,30,15,68,72,45,76,31,30,5,14,2,1,14,2,1,7,7,4
9,The Tropic of Answer,Students,5,27,52,31,19,62,75,52,79,39,31,6,12,3,5,8,1,8,4,15,3
10,AI 2025-08-21 - howolddoyoulook,AI,0,26,55,23,21,45,62,32,69,29,26,5,9,5,7,9,12,12,14,5,8
11,True Age,Actual,0,21,64,28,14,54,74,44,83,24,34,,,,,,,,,,
