student,glasses,english,statsofar,love_htcm,smoke,h_left,h_right,handedness,statfuture,haircut,lecture,alone,height_in,hand_span,favcolor,lastsleep,pulse,year,lovetrueht,lovetrueage,sex,ageguess,trouble
202601,y,y,5,183,1,0,18,1.00,5,45,2,3,65,19.5,navy blue,8,64,2026,188,59.5,NA,NA,1
202602,n,y,5,180,1,4,11,0.47,7,11,2,2,66.5,22.5,blue,8.5,104,2026,188,59.5,NA,NA,1
202603,y,n,6,178,1,3,17,0.70,7,45,2,3,58,19.3,white,8,85,2026,188,59.5,NA,NA,1
202604,y,y,5,175,1,2,15,0.76,6,75,3,3,65,22,green,8,97,2026,188,59.5,NA,NA,1
202605,n,y,6,180,1,2,15,0.76,7,12,3,2,65,21.1,blue,8.5,90,2026,188,59.5,NA,NA,1
202606,y,y,6,178,1,2,14,0.75,7,0,2,3,63,21,blue,7,98,2026,188,59.5,NA,NA,1
202607,n,y,6,175,1,12,12,0.00,6,0,2,3,70,22,blue,6,72,2026,188,59.5,NA,NA,1
202608,y,y,1,180,1,10,0,-1.00,7,80,3,5,63,17,sage green,7,80,2026,188,59.5,NA,NA,0
202609,y,y,2,180,1,1,10,0.82,6,65,3,5,69,23,lavender,5,92,2026,188,59.5,NA,NA,0
202610,y,y,5,185,3,18,10,-0.29,6,0,3,4,66,20,blue,7,72,2026,188,59.5,NA,NA,1
202611,y,y,6,191,1,19,10,-0.31,7,25,4,4,72,22,purple,7.75,72,2026,188,59.5,NA,NA,1
202612,y,y,6,170,1,1,9,0.80,6,28,3,3,76,22,blue,6,72,2026,188,59.5,NA,NA,1
202613,y,n,6,173,1,0,10,1.00,6,14,4,2,64,19,orange,7,60,2026,188,59.5,NA,NA,0
202614,n,n,5,180,1,3,10,0.54,6,30,3,4,71,23,green,7,68,2026,188,59.5,NA,NA,0
202615,y,n,5,180,1,1,10,0.82,5,50,4,3,67,17,blue,9,80,2026,188,59.5,NA,NA,0
202616,y,y,6,191,1,5,15,0.50,7,55,4,2,71,24,red,8.5,80,2026,188,59.5,NA,NA,1
202617,n,y,7,191,1,0,18,1.00,7,60,3,2,66,19,sage green,8.5,64,2026,188,59.5,NA,NA,0
202618,y,y,5,185,1,17,3,-0.70,6,0,2,4,64,19,blue,6,68,2026,188,59.5,NA,NA,1
202619,y,y,5,188,1,2,17,0.79,6,0,2,4,69,20.5,green,6,64,2026,188,59.5,NA,NA,0
202620,y,y,2,185,1,0,20,1.00,7,48,2,3,68,20,blue,5,68,2026,188,59.5,NA,NA,0
202621,y,y,6,183,2,7,12,0.26,7,0,2,3,65,18,green,8,80,2026,188,59.5,NA,NA,1
202622,n,y,5,178,1,1,13,0.86,7,120,2,3,67,19,maroon,7,80,2026,188,59.5,NA,NA,0
202623,n,y,5,178,1,1,15,0.88,7,0,4,3,65,19,dark green,8,80,2026,188,59.5,NA,NA,1
202624,y,y,5,180,1,2,13,0.73,7,37,3,3,70,23.3,brown,8,92,2026,188,59.5,NA,NA,1
202625,n,y,5,183,1,1,11,0.83,6,50,4,3,63.5,20.5,green,7.5,80,2026,188,59.5,NA,NA,1
202626,n,n,7,175,1,0,10,1.00,7,30,5,5,72,22,black,5,96,2026,188,59.5,NA,NA,0
202627,n,y,2,173,1,6,10,0.25,7,35,4,2,74,22,blue,5,80,2026,188,59.5,NA,NA,1
202628,y,y,4,188,1,2,15,0.76,7,25,4,2,69,21,red,8,72,2026,188,59.5,NA,NA,0
202629,y,y,5,188,1,1,9,0.80,6,0,4,5,74,20,yellow,7,79,2026,188,59.5,NA,NA,1
202630,y,y,5,183,1,10,7,-0.18,6,25,2,2,71,24,blue,5,72,2026,188,59.5,NA,NA,0
202631,y,y,6,188,1,1,16,0.88,7,25,3,4,71,23.25,green,7,100,2026,188,59.5,NA,NA,1
202632,n,n,7,183,1,0,20,1.00,7,80,3,2,67,20.6,pink,6.5,64,2026,188,59.5,NA,NA,1
202633,n,y,4,180,1,0,20,1.00,6,35,2,3,71,21.9,purple,7.5,59,2026,188,59.5,NA,NA,1
202634,n,n,6,185,2,6,12,0.33,7,280,4,3,60,18.5,NA,6,72,2026,188,59.5,NA,NA,1
202635,y,y,5,188,1,4,16,0.60,7,85,2,4,64,17,blue,7.5,80,2026,188,59.5,NA,NA,1
202636,n,y,3,180,1,0,20,1.00,7,60,3,4,64,19.3,blue,7,64,2026,188,59.5,NA,NA,0
202637,y,y,5,178,1,5,15,0.50,7,100,2,2,67,20.4,green,6.5,116,2026,188,59.5,NA,NA,1
202638,n,n,5,188,1,0,10,1.00,4,35,3,2,66,21,green,5,84,2026,188,59.5,NA,NA,0
202639,y,y,5,191,1,0,10,1.00,5,250,3,4,62,17,white,6,71,2026,188,59.5,NA,NA,1
202640,n,n,6,183,1,16,10,-0.23,6,0,2,4,64,19,yellow,7,88,2026,188,59.5,NA,NA,1
