fips,state,county,poorfair_2024,poorfair_2014,obesity_2024,obesity_2014
39001,Ohio,Adams,21,20,42,31
39003,Ohio,Allen,17,16,43,37
39005,Ohio,Ashland,17,13,39,31
39007,Ohio,Ashtabula,21,19,45,30
39009,Ohio,Athens,18,17,38,33
39011,Ohio,Auglaize,15,14,37,33
39013,Ohio,Belmont,17,19,39,31
39015,Ohio,Brown,19,13,43,36
39017,Ohio,Butler,16,16,44,30
39019,Ohio,Carroll,17,21,38,29
39021,Ohio,Champaign,16,13,40,33
39023,Ohio,Clark,18,15,43,33
39025,Ohio,Clermont,15,15,36,27
39027,Ohio,Clinton,17,22,42,30
39029,Ohio,Columbiana,18,20,45,32
39031,Ohio,Coshocton,20,16,40,32
39033,Ohio,Crawford,18,14,41,36
39035,Ohio,Cuyahoga,18,15,35,27
39037,Ohio,Darke,17,19,39,35
39039,Ohio,Defiance,16,15,41,28
39041,Ohio,Delaware,10,7,36,26
39043,Ohio,Erie,16,20,41,28
39045,Ohio,Fairfield,15,12,44,31
39047,Ohio,Fayette,20,28,44,31
39049,Ohio,Franklin,16,15,36,30
39051,Ohio,Fulton,16,12,42,30
39053,Ohio,Gallia,19,18,41,31
39055,Ohio,Geauga,13,6,35,28
39057,Ohio,Greene,14,11,37,26
39059,Ohio,Guernsey,19,15,44,31
39061,Ohio,Hamilton,16,13,35,28
39063,Ohio,Hancock,15,8,37,31
39065,Ohio,Hardin,18,20,41,32
39067,Ohio,Harrison,18,18,43,30
39069,Ohio,Henry,16,16,42,33
39071,Ohio,Highland,20,21,44,33
39073,Ohio,Hocking,19,19,44,32
39075,Ohio,Holmes,21,21,39,29
39077,Ohio,Huron,18,16,42,33
39079,Ohio,Jackson,20,22,47,33
39081,Ohio,Jefferson,19,25,42,36
39083,Ohio,Knox,16,12,40,32
39085,Ohio,Lake,14,14,37,28
39087,Ohio,Lawrence,20,28,47,37
39089,Ohio,Licking,15,15,39,30
39091,Ohio,Logan,16,17,40,30
39093,Ohio,Lorain,17,16,37,31
39095,Ohio,Lucas,18,18,42,32
39097,Ohio,Madison,17,14,41,31
39099,Ohio,Mahoning,18,14,41,30
39101,Ohio,Marion,19,16,46,32
39103,Ohio,Medina,12,9,38,29
39105,Ohio,Meigs,21,23,40,33
39107,Ohio,Mercer,14,23,38,29
39109,Ohio,Miami,15,13,39,31
39111,Ohio,Monroe,18,15,40,32
39113,Ohio,Montgomery,18,16,41,30
39115,Ohio,Morgan,21,20,45,32
39117,Ohio,Morrow,17,26,41,31
39119,Ohio,Muskingum,19,16,45,30
39121,Ohio,Noble,19,18,41,32
39123,Ohio,Ottawa,15,15,37,35
39125,Ohio,Paulding,17,17,44,29
39127,Ohio,Perry,18,13,43,37
39129,Ohio,Pickaway,17,22,42,33
39131,Ohio,Pike,22,20,40,32
39133,Ohio,Portage,15,13,35,30
39135,Ohio,Preble,16,16,40,32
39137,Ohio,Putnam,14,10,36,30
39139,Ohio,Richland,19,14,41,31
39141,Ohio,Ross,18,29,42,34
39143,Ohio,Sandusky,17,17,42,34
39145,Ohio,Scioto,21,24,47,36
39147,Ohio,Seneca,17,14,42,30
39149,Ohio,Shelby,17,19,41,32
39151,Ohio,Stark,16,15,42,32
39153,Ohio,Summit,17,15,43,29
39155,Ohio,Trumbull,19,20,42,33
39157,Ohio,Tuscarawas,17,13,40,32
39159,Ohio,Union,13,12,36,34
39161,Ohio,Van Wert,16,17,44,33
39163,Ohio,Vinton,22,19,43,30
39165,Ohio,Warren,12,11,35,26
39167,Ohio,Washington,17,16,45,32
39169,Ohio,Wayne,17,12,38,31
39171,Ohio,Williams,17,17,42,30
39173,Ohio,Wood,14,14,41,30
39175,Ohio,Wyandot,15,12,34,29
